dataset	rmse	rmse_dropout	rmse_biozero	rmse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	0.33614474534988403	0.5124637484550476	0.11173073947429657	0.11570967733860016	92300	36914	7279	48107
dataset_3_types_unequal	0.3351021707057953	0.5360018610954285	0.1136436015367508	0.11698391288518906	92600	33394	7662	51544
dataset_4_types_rare	0.4728698432445526	0.6336966156959534	0.13413572311401367	0.1169448122382164	93200	50349	8182	34669
dataset_multibatch_dropout	0.37183064222335815	0.5148727893829346	0.09409314393997192	0.11049588024616241	291600	145828	36313	109459
AVG	0.3789868503808975		0.11340080201625824					
