dataset	method	ASW	ASW_std	ARI	ARI_std	NMI	NMI_std	PS	PS_std	runtime_sec	runtime_sec_std	n_repeats	error	n_cells	n_genes	label_source
baron-human_top1000markers	baseline	0.22	0	0.5675	0	0.7885	0	0.9529	0	9.4312	3.54168162036059	5	NA	8569	1000	cell_type1
baron-mouse_top1000markers	baseline	0.2477	0	0.5292	0	0.7527	0	0.9364	0	0.8842	0.00864291617453296	5	NA	1886	1000	cell_type1
campbell_top1000markers	baseline	0.1474	0	0.1472	0	0.493	0	0.6517	0	95.6684	0.540811242486706	5	NA	21086	1000	cell_type1
chen_top1000markers	baseline	0.126	0	0.3037	0	0.635	0	0.8158	0	67.311	1.20504253036975	5	NA	14437	1000	cell_type1
macosko_top1000markers	baseline	0.1073	0	0.2467	0	0.5299	0	0.9221	0	129.5054	0.499557103842938	5	NA	44808	1000	cell_type1
manno_human_top1000markers	baseline	0.1315	0	0.3585	0	0.6409	0	0.5133	0	9.596	0.522706896836084	5	NA	4029	1000	cell_type1
manno_mouse_top1000markers	baseline	0.1255	0	0.2311	0	0.5605	0	0.5312	0	2.36779999999999	0.189716103691782	5	NA	2150	1000	cell_type1
shekhar_top1000markers	baseline	0.2304	0	0.1604	0	0.3415	0	0.9613	0	26.6388	0.110940073913774	5	NA	27499	1000	cell_type1
zeisel_top1000markers	baseline	0.2606	0	0.6923	0	0.7724	0	0.9208	0	1.16039999999998	0.0378259170411045	5	NA	3005	1000	cell_type1
