config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	zero_iso_weight	dropout_iso_weight	constrained_zero_scale	p_bio_temp	p_bio_bias	thr_drop	p_bio_nz_scale	post_log_quantile	proxy_calib_shrink	avg_rmse	avg_bz_rmse	score
217	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.95	0.0	0.0	0.0	1.9252441736094545	0.15140735238128544	1.1140294391860128
229	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.95	0.3	0.0	0.0	1.9252441736094545	0.15140735238128544	1.1140294391860128
241	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.95	0.6	0.0	0.0	1.9252441736094545	0.15140735238128544	1.1140294391860128
397	0.0	0.7	0.8	0.0	0.0	False	1.5	1.0	0.99	0.0	0.0	0.0	1.8962329352582008	0.16749637917736285	1.1156128468064632
409	0.0	0.7	0.8	0.0	0.0	False	1.5	1.0	0.99	0.3	0.0	0.0	1.8962329352582008	0.16749637917736285	1.1156128468064632
421	0.0	0.7	0.8	0.0	0.0	False	1.5	1.0	0.99	0.6	0.0	0.0	1.8962329352582008	0.16749637917736285	1.1156128468064632
253	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.0	0.0	0.0	2.1248047028738917	0.05427480676071227	1.116677158197658
265	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.3	0.0	0.0	2.1248047028738917	0.05427480676071227	1.116677158197658
277	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.6	0.0	0.0	2.1248047028738917	0.05427480676071227	1.116677158197658
181	0.0	0.7	0.8	0.0	0.0	False	1.0	0.5	0.99	0.0	0.0	0.0	2.0680511223832547	0.08658528347344426	1.1206108446650715
193	0.0	0.7	0.8	0.0	0.0	False	1.0	0.5	0.99	0.3	0.0	0.0	2.0680511223832547	0.08658528347344426	1.1206108446650715
205	0.0	0.7	0.8	0.0	0.0	False	1.0	0.5	0.99	0.6	0.0	0.0	2.0680511223832547	0.08658528347344426	1.1206108446650715
