dataset	rmse	rmse_dropout	rmse_biozero	rmse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	0.6233626008033752	0.967186450958252	0.1802845299243927	0.15109336376190186	92300	36914	7279	48107
dataset_3_types_unequal	0.5826540589332581	0.9486777186393738	0.18454194068908691	0.1474866420030594	92600	33394	7662	51544
dataset_4_types_rare	0.9217047095298767	1.241815209388733	0.23856793344020844	0.17551258206367493	93200	50349	8182	34669
dataset_multibatch_dropout	0.6861714124679565	0.9572297930717468	0.1712517887353897	0.15438269078731537	291600	145828	36313	109459
AVG	0.7034731954336166		0.19366154819726944					
