transform	mse	mse_dropout	mse_biozero	mae	gnrmse	ari_grid_mean	nmi_grid_mean	ari_matched_mean	nmi_matched_mean
all_obs0.05	0.21869959686869217	0.3099006022298682	0.012113048676121034	0.34438802306983696	1.1434121416517984	0.5652413119223195	0.6743758690649493	0.7234134658455816	0.7660887149364686
all_obs0.1	0.22077613512062375	0.3311549401724145	0.010871544781904257	0.34670006077675336	1.1489800082740804	0.574051280479156	0.6787750081153882	0.7396681671616125	0.7719675714833436
all_obs0.15	0.23025289930029885	0.3679223774085454	0.009697150561603642	0.35422936777022646	1.1754135756471498	0.5774100340816151	0.6814040971012246	0.7208020589724118	0.7597449451113829
all_obs0.2	0.24712987550412485	0.42020299857112714	0.008589863286921861	0.3657681788624178	1.2195635132382954	0.5809948213372952	0.6819393577679325	0.7301358229427978	0.7690461137473282
all_obs0.25	0.2714070753567872	0.48799677721704465	0.007549684268923307	0.3803156936470056	1.2777205651313008	0.5885503580962342	0.6868738970827309	0.7246382349956946	0.7666069244708075
all_obs1.0	1.5235914984873076	3.3664805623214704	0.0	0.7342553676695862	2.7043879565726225	0.5430981727803192	0.5848662567314149	0.6418234356597791	0.6625163072972661
raw	0.22402328243786615	0.30415941606555486	0.013421660924265968	0.34855684570729745	1.159877282679043	0.5591984302339114	0.6717829335080604	0.717900712599872	0.7642270454394507
