dataset	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	runtime_sec	runtime_sec_std	n_repeats	n_total	n_dropout	n_biozero	n_non_zero	error
dataset_2_types_equal	4.553803253173828	0.02561261351933948	6.187446784973145	0.031520395076722114	0.043307699263095856	0.00042750470873353724	4.019680643081665	0.031461722147250896	756.0481451130021	24.67755793805626	5	109700000	54416196	14930150	40353654	
dataset_3_types_unequal	4.188665390014648	0.010068861230927715	5.507544136047363	0.017775286595572478	0.0505987398326397	0.00019730914217246085	4.009691953659058	0.00997719536599622	746.0532148499988	75.6590136492402	5	109700000	52522454	14911900	42265646	
dataset_4_types_rare	4.662951469421387	0.010897627989531292	5.980742359161377	0.011265456215390192	0.05697721242904663	0.00029395671280119036	4.572002220153808	0.016675424517787654	503.2510368655974	44.7230398127302	5	109700000	54710917	14860453	40128630	
dataset_multibatch_dropout	4.06421537399292	0.022257243298331016	5.19179515838623	0.024560867593460836	0.04877035468816757	0.0004435027342817764	4.096559619903564	0.029564770936554713	575.6034301509993	37.64716097918603	5	109700000	52227521	15008132	42464347	
