dataset	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	runtime_sec	runtime_sec_std	n_repeats	n_total	n_dropout	n_biozero	n_non_zero	error
dataset_2_types_equal	0.7453588843345642	0.012238002120090482	1.4186192353566487	0.02446655354481304	0.16087356209754944	0.002257867695815788	0.0	0.0	5.846390728666695	4.212343615847427	3	1066000	544846	134412	386742	
dataset_3_types_unequal	0.6193749109903971	0.005948424056296094	1.2030654748280842	0.01324760542869639	0.17627751330534616	0.005127616260191972	0.0	0.0	3.4036739149999753	0.037127085062108996	3	1065000	528580	134548	401872	
dataset_4_types_rare	0.6507051984469095	0.009303594398481376	1.239503026008606	0.01931207470355623	0.20364860693613687	0.003379754785520107	0.0	0.0	3.383192114333345	0.018582071737184635	3	1073000	539831	142817	390352	
dataset_multibatch_dropout	0.6170487602551779	0.004288347379333812	1.2406494617462158	0.009272402468623271	0.16649567087491354	0.0016827640066654004	0.0	0.0	3.343883918666658	0.030454645464309222	3	1072000	514202	141335	416463	
