dataset	thr_drop	thr_bio	p_zero	p_nz	keep_positive	mse	mse_dropout	mse_biozero	mse_non_zero	n_total	n_dropout	n_biozero	n_non_zero	n_obs_zero	n_pred_bio
dataset_2_types_equal	0.73	0.27	1.0	0.3	True	0.571129322052002	0.6061821579933167	2.0986058712005615	0.31311193108558655	92300	36914	7279	48107	44193	9242
dataset_3_types_unequal	0.73	0.27	1.0	0.3	True	0.6749356985092163	0.6263430714607239	2.369340658187866	0.4545447826385498	92600	33394	7662	51544	41056	6875
dataset_4_types_rare	0.73	0.27	1.0	0.3	True	1.5478589534759521	1.0397889614105225	1.3054496049880981	2.342926502227783	93200	50349	8182	34669	58531	13141
dataset_multibatch_dropout	0.73	0.27	1.0	0.3	True	1.677011251449585	1.1075822114944458	1.0177103281021118	2.654362201690674	291600	145828	36313	109459	182141	51198
