dataset	mse	mse_dropout	mse_biozero	mse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	0.7694513455482459	1.4749669139507593	0.12354039189958413	2.0553123558756267e-14	1066000	544846	134412	386742
dataset_3_types_unequal	0.5637339151663363	1.4523459073888298	0.17959406700997996	1.892849314781029e-14	1070000	398112	139197	532691
dataset_4_types_rare	0.8251358552085247	1.3853776238203548	0.13590222893986698	2.1436909153752937e-14	1060000	618530	130582	310888
dataset_multibatch_dropout	0.674429356664731	1.4488919667637634	0.12721408019599253	1.9615210275429047e-14	1072000	486580	141387	444033
AVG	0.7081876181469595		0.1415626920113559					
