config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	bio_reg_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	post_gene_gamma	post_gene_ref	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	bio_model	bio_model_mix	poisson_scale	post_bio_temp	post_bio_bias	calib_method	calib_blend	calib_platt_l2	calib_platt_max_iter	calib_platt_lr	calib_platt_use_logit	calib_platt_balance	calib_max_samples	sup_bio_weight	sup_bio_l2	sup_bio_lr	sup_bio_epochs	sup_bio_balance	sup_bio_max_samples	sup_bio_method	sup_bio_min_count	sup_bio_var_floor	sup_bio_hidden	lowrank_weight	lowrank_rank	lowrank_iters	ae_bio_weight	ae_bio_cap_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	gene_rare_threshold	gene_rare_pbio	cell_zero_weight	cell_depth_boost	cell_depth_gamma	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	zero_shrink	zero_cap_quantile	zero_cap_scale	zero_cap_ref	expr_bio_weight	expr_bio_cap_weight	expr_bio_temp	expr_bio_bias	expr_bio_quantile	expr_bio_scale	expr_bio_union	expr_bio_expected	expr_bio_mix	knn_bio_weight	knn_bio_temp	knn_bio_quantile	knn_k	knn_bio_union	clip_negative	calibrate_p_bio	calibrate_zero_threshold	calibrate_zero_mode	calibrate_p_bio_mode	calibrate_frac_scale_grid	calibrate_zero_thr_grid	calibrate_bin_count	calibrate_lambda_mse
11	0.7839387007057667	0.39219414442777634	0.5596350803971291	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.7	4.0	obs	True	True	False	0.3	2.0	1.8	0.8	splat	0.7	1.0	1.0	0.0	none	1.0	0.0	120	0.2	True	True	20000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.3	0.6	0.2	True	0.0	1.0	0.0	4.0	0.0	2.0	-1.0	0.0	0.6	0.0	1.0	0.0	2.0	2	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
12	0.7820099055767059	0.3867335543036461	0.5646805018186569	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.1	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.8	0.8	splat	0.7	2.0	1.0	0.0	none	0.8	0.0	200	0.05	True	True	50000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.0	0.6	0.6	False	0.0	4.0	0.0	2.0	0.0	4.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	2	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
13	0.8057009346783162	0.43348417431116104	0.5317382290959358	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.8	0.6	splat	0.7	0.5	1.0	0.0	none	1.0	0.01	200	0.05	True	True	20000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.9	1.0	0.6	False	0.0	2.0	0.0	2.0	0.0	2.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	2	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
14	0.7347709074616432	0.2790219187736511	0.6510699838399887	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.1	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.8	splat	0.7	0.5	1.0	0.0	none	1.0	0.0	120	0.2	True	True	20000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.3	1.0	0.2	True	0.0	2.0	0.0	2.0	0.0	4.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	4	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
15	0.7820099055767059	0.3867335543036461	0.5646805018186569	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.05	0.0	4.0	0.1	0.7	4.0	obs	True	True	False	0.3	2.0	1.8	0.8	splat	0.3	0.5	1.0	0.0	none	0.8	0.1	120	0.2	True	True	50000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.0	0.3	0.6	False	0.0	1.0	0.0	2.0	0.0	4.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	2	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
16	0.7697496935725212	0.3578409366309643	0.5884410813450813	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.05	0.0	4.0	0.1	0.7	4.0	obs	True	True	False	0.3	2.0	1.8	1.0	splat	0.7	1.0	1.0	0.0	none	1.0	0.01	200	0.2	True	True	20000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.0	0.1	0.2	True	0.0	2.0	0.0	2.0	0.0	1.0	-1.0	0.0	0.6	0.0	1.0	0.0	2.0	3	20	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
17	0.7347018271684647	0.24343286454677582	0.7018128037452698	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.1	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	1.0	splat	0.5	1.0	1.0	0.0	none	0.8	0.01	200	0.05	True	True	50000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.9	0.1	0.2	True	0.0	1.0	0.0	1.0	0.0	2.0	-1.0	0.0	0.6	0.0	1.0	0.0	2.0	4	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
18	0.7697496935725212	0.3578409366309643	0.5884410813450813	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.1	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.8	1.0	splat	0.7	0.5	1.0	0.0	none	0.6	0.0	200	0.1	True	True	20000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.0	1.0	0.4	True	0.0	2.0	0.0	2.0	0.0	4.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	4	20	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
19	0.733411829173565	0.23929983377456665	0.7058742791414261	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.05	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	1.0	splat	0.7	0.5	1.0	0.0	none	1.0	0.0	120	0.2	True	True	50000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.0	0.6	0.2	False	0.0	2.0	0.0	4.0	0.0	4.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	2	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
20	0.7964812122285365	0.4163265824317932	0.5430780425667763	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.7	4.0	obs	True	True	False	0.3	2.0	1.8	0.6	splat	0.7	1.0	1.0	0.0	none	0.8	0.01	120	0.2	True	True	20000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.0	0.1	0.4	False	0.0	1.0	0.0	4.0	0.0	4.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	2	20	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
21	0.791115865856409	0.40749355405569077	0.5480318740010262	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.1	0.0	4.0	0.1	0.7	4.0	obs	True	True	False	0.3	2.0	1.8	0.8	splat	0.5	0.5	1.0	0.0	none	0.6	0.1	120	0.2	True	True	20000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.6	1.0	0.2	False	0.0	1.0	0.0	2.0	0.0	4.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	3	20	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
22	0.7335694871842862	0.26789991930127144	0.6652422398328781	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.8	splat	0.5	1.0	1.0	0.0	none	0.6	0.01	120	0.2	True	True	50000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.3	0.1	0.6	True	0.0	1.0	0.0	2.0	0.0	4.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	4	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
23	0.7334489725530147	0.24035855010151863	0.704414889216423	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.1	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	1.0	splat	0.3	2.0	1.0	0.0	none	1.0	0.1	200	0.2	True	True	20000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.3	0.6	0.8	True	0.0	1.0	0.0	2.0	0.0	1.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	4	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
24	0.734036224335432	0.27098947390913963	0.6614953577518463	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.1	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.8	splat	0.5	4.0	1.0	0.0	none	0.8	0.1	200	0.2	True	True	50000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.3	0.3	0.2	False	0.0	4.0	0.0	2.0	0.0	1.0	-1.0	0.0	0.6	0.0	1.0	0.0	2.0	4	20	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
25	0.7964812122285365	0.4163265824317932	0.5430780425667763	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.8	0.6	splat	0.3	0.5	1.0	0.0	none	0.6	0.1	200	0.2	True	True	50000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.0	1.0	0.2	False	0.0	2.0	0.0	2.0	0.0	1.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	4	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
26	0.7334119103848934	0.23929990455508232	0.7058742940425873	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.7	4.0	obs	True	True	False	0.3	2.0	1.5	1.0	splat	0.7	2.0	1.0	0.0	none	1.0	0.0	120	0.1	True	True	20000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.3	0.1	0.6	False	0.0	4.0	0.0	1.0	0.0	1.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	4	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
