config_id	p_bio_temp	p_bio_bias	proxy_drop_weight	avg_mse	avg_bz_mse	score
1	1.2	-1.0	0.5	0.5715744569897652	0.2757568173110485	0.5615440458059311
2	1.2	-0.5	0.5	0.64817114174366	0.2017012983560562	0.5257868692278862
3	1.2	0.0	0.5	0.743711069226265	0.14664361253380775	0.5184991471469402
4	1.2	0.5	0.5	0.8731208443641663	0.09578198194503784	0.532342404127121
5	1.5	-1.0	0.5	0.5159893110394478	0.3639143109321594	0.6219089664518833
6	1.5	-0.5	0.5	0.5669264495372772	0.27963361516594887	0.5630968399345875
7	1.5	0.0	0.5	0.6303380057215691	0.2116122767329216	0.5267812795937061
8	1.5	0.5	0.5	0.7069389224052429	0.1616809144616127	0.5151503756642342
9	1.8	-1.0	0.5	0.4900564029812813	0.42954083532094955	0.6745690368115902
10	1.8	-0.5	0.5	0.5204505100846291	0.3536014184355736	0.6138266734778881
11	1.8	0.0	0.5	0.5640350133180618	0.28248805552721024	0.5645055621862411
12	1.8	0.5	0.5	0.6183220744132996	0.2201290726661682	0.529290109872818
13	2.0	-1.0	0.5	0.4800379052758217	0.4654148519039154	0.7054338045418262
14	2.0	-0.5	0.5	0.5033011063933372	0.3921632319688797	0.6438137851655483
15	2.0	0.0	0.5	0.5344783291220665	0.3260493054986	0.5932884700596333
16	2.0	0.5	0.5	0.5785305798053741	0.2631177455186844	0.5523830354213715
