config_id	p_bio_temp	p_bio_bias	proxy_drop_weight	avg_mse	avg_bz_mse	score
1	1.3	0.5	0.2	0.8974357843399048	0.08112079463899136	0.5298386868089437
2	1.3	0.5	0.3	0.866106316447258	0.09064719825983047	0.5237003564834595
3	1.3	0.5	0.4	0.8354998975992203	0.10196165181696415	0.5197116006165743
4	1.4	0.5	0.2	0.8207094818353653	0.10281020402908325	0.5131649449467659
5	1.4	0.5	0.3	0.7978488057851791	0.11239813081920147	0.511322533711791
6	1.4	0.5	0.4	0.7736032456159592	0.12495123408734798	0.5117528568953276
7	1.5	0.5	0.2	0.7603156566619873	0.12572971917688847	0.5058875475078821
8	1.5	0.5	0.3	0.7419909238815308	0.13615340180695057	0.507148863747716
9	1.5	0.5	0.4	0.7245437502861023	0.14830720983445644	0.5105790849775076
10	1.6	0.5	0.2	0.7097081691026688	0.15118898078799248	0.5060430653393269
11	1.6	0.5	0.3	0.6966953575611115	0.16075558215379715	0.5091032609343529
12	1.6	0.5	0.4	0.6831347346305847	0.17105702683329582	0.5126243941485882
