dataset	mse	mse_dropout	mse_biozero	mse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	0.9491085215292908	1.838594924471782	0.07438765684212098	2.0553123558756267e-14	1066000	544846	134412	386742
dataset_3_types_unequal	0.6776602660272297	1.7772465094533276	0.1261041709062897	1.892849314781029e-14	1070000	398112	139197	532691
dataset_4_types_rare	1.0064727811161005	1.7083947426999977	0.07786484952619631	2.1436909153752937e-14	1060000	618530	130582	310888
dataset_multibatch_dropout	0.8301423546327664	1.8061316165940766	0.07840241439433077	1.9615210275429047e-14	1072000	486580	141387	444033
AVG	0.8658459808263468		0.08918977291723444					
