dataset	rmse	rmse_dropout	rmse_biozero	rmse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	0.18191490330807236	0.2784877099573181	0.05163285079925894	0.0598293026313799	92300	36914	7279	48107
dataset_3_types_unequal	0.17945018420873912	0.2882012496363578	0.052285250602281	0.060279151489493185	92600	33394	7662	51544
dataset_4_types_rare	0.24493831604639194	0.32896926494517625	0.0499055898596323	0.059400708289689574	93200	50349	8182	34669
dataset_multibatch_dropout	0.20849773328882618	0.28990691252688233	0.03787917673426555	0.057972163771978016	291600	145828	36313	109459
AVG	0.2037002842130074		0.04792571699885945					
