dataset	method	ASW	ASW_std	ARI	ARI_std	NMI	NMI_std	PS	PS_std	runtime_sec	runtime_sec_std	n_repeats	error	n_cells	n_genes	label_source
blakeley_top1000markers	saver	0.2802	0	1	0	1	0	1	0	1.95	0	1	NA	30	935	cell_type1
darmanis_top1000markers	saver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0 (non-NA) cases	420	1000	cell_type1
deng_top1000markers	saver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0 (non-NA) cases	268	1000	cell_type1
pollen_top1000markers	saver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0 (non-NA) cases	299	1000	cell_type1
usoskin_top1000markers	saver	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0 (non-NA) cases	622	1000	cell_type1
