dataset	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	runtime_sec	runtime_sec_std	n_repeats	n_total	n_dropout	n_biozero	n_non_zero	error
dataset_2_types_equal	4.497331142425537	0.0	6.362514972686768	0.0	0.04414350539445877	0.0	3.6926846504211426	0.0	5.928785951982718	0.0	1	27425000	13486654	3820636	10117710	
dataset_3_types_unequal	4.150568962097168	0.0	5.680008411407471	0.0	0.051130615174770355	0.0	3.758816719055176	0.0	7.3222595659899525	0.0	1	27450000	13013543	3842821	10593636	
dataset_4_types_rare	4.5192036628723145	0.0	6.030531883239746	0.0	0.05381057411432266	0.0	4.212518692016602	0.0	4.882652530039195	0.0	1	27475000	13522375	3885221	10067404	
dataset_multibatch_dropout	3.998899459838867	0.0	5.366449356079102	0.0	0.04244919493794441	0.0	3.764148473739624	0.0	6.476821191026829	0.0	1	27450000	12939065	3839220	10671715	
