dataset	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	runtime_sec	runtime_sec_std	n_repeats	n_total	n_dropout	n_biozero	n_non_zero	error
dataset_2_types_equal	4.88110836315039	0.000343504407656487	9.92543800921231	0.000700327962806119	0.0124663235286851	5.29834398343291e-06	0	0	341.3238	5.5682774894935	5	54900000	26988533	8008607	19902860	NA
dataset_3_types_unequal	4.71517456490426	0.00768446671426684	9.9383866902124	0.0162606834849064	0.0397370754197885	0.000171296819606647	0	0	414.5804	6.48032165868321	5	54950000	26038329	8049409	20862262	NA
dataset_4_types_rare	4.18298726708729	0.0102141568251634	8.48821731078928	0.0206040002390521	0.00332316514316272	0.00056734996414282	0	0	435.5166	4.37391235623234	5	54900000	27051545	8006948	19841507	NA
dataset_multibatch_dropout	4.25270030968432	0.000136647122526296	9.03004731295511	0.000290565417582102	0.00200566261080238	1.65596639749363e-06	0	0	448.0258	15.9242477436141	5	54950000	25876914	8039380	21033706	NA
