dataset	rmse	rmse_dropout	rmse_biozero	rmse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	0.6183180212974548	0.9587790966033936	0.18759651482105255	0.15109336376190186	92300	36914	7279	48107
dataset_3_types_unequal	0.5816664695739746	0.9467586278915405	0.18976812064647675	0.1474866420030594	92600	33394	7662	51544
dataset_4_types_rare	0.9229235053062439	1.2441099882125854	0.21776047348976135	0.17551258206367493	93200	50349	8182	34669
dataset_multibatch_dropout	0.680246889591217	0.9500846266746521	0.1380174309015274	0.15438269078731537	291600	145828	36313	109459
AVG	0.7007887214422226		0.1832856349647045					
