dataset	ASW	ASW_std	ARI	ARI_std	NMI	NMI_std	PS	PS_std	runtime_sec	runtime_sec_std	n_repeats	n_cells	n_genes	label_source	error
blakeley_top1000markers	0.849	0.0	1.0	0.0	1.0	0.0	1.0	0.0	14.747334718704224	0.0	1	30	935	cell_type1	
darmanis_top1000markers	0.6289	0.0	0.8431	0.0	0.8569	0.0	0.9024	0.0	5.3214943408966064	0.0	1	420	1000	cell_type1	
deng_top1000markers	0.6549	0.0	0.9329	0.0	0.9092	0.0	0.959	0.0	4.836071729660034	0.0	1	268	1000	cell_type1	
pollen_top1000markers	0.8493	0.0	0.9562	0.0	0.9455	0.0	0.9599	0.0	4.953998327255249	0.0	1	299	1000	cell_type1	
usoskin_top1000markers	0.4715	0.0	0.9285	0.0	0.9009	0.0	0.9566	0.0	78.42372941970825	0.0	1	622	1000	cell_type1	
