dataset	thr_drop	thr_bio	p_zero	p_nz	noise_max	hidden	bottleneck	dropout	post_threshold	keep_positive	mse	mse_dropout	mse_biozero	mse_non_zero	n_total	n_dropout	n_biozero	n_non_zero	n_obs_zero	n_pred_bio
dataset_2_types_equal	0.82	0.18000000000000005	0.0	0.2	0.5	128,64	32	0.1	0.5	True	4.293069839477539	4.671087741851807	0.46205222606658936	4.58267068862915	92300	36914	7279	48107	44193	14645
dataset_3_types_unequal	0.82	0.18000000000000005	0.0	0.2	0.5	128,64	32	0.1	0.5	True	3.7814507484436035	4.430660724639893	0.4006503224372864	3.8633999824523926	92600	33394	7662	51544	41056	14307
dataset_4_types_rare	0.82	0.18000000000000005	0.0	0.2	0.5	128,64	32	0.1	0.5	True	5.030825614929199	5.45908260345459	0.43050867319107056	5.49456787109375	93200	50349	8182	34669	58531	18461
dataset_multibatch_dropout	0.82	0.18000000000000005	0.0	0.2	0.5	128,64	32	0.1	0.5	True	4.885510444641113	5.331589698791504	0.30468976497650146	5.810901641845703	291600	145828	36313	109459	182141	67010
