dataset	thr_drop	thr_bio	p_zero	p_nz	noise_max	hidden	bottleneck	dropout	post_threshold	keep_positive	mse	mse_dropout	mse_biozero	mse_non_zero	n_total	n_dropout	n_biozero	n_non_zero	n_obs_zero	n_pred_bio
dataset_2_types_equal	0.82	0.18000000000000005	0.0	0.2	0.5	128,64	32	0.1	0.5	True	1.908608317375183	4.671087741851807	0.46205222606658936	0.007747984025627375	92300	36914	7279	48107	44193	14645
dataset_3_types_unequal	0.82	0.18000000000000005	0.0	0.2	0.5	128,64	32	0.1	0.5	True	1.6317499876022339	4.430660724639893	0.4006503224372864	0.0014118053950369358	92600	33394	7662	51544	41056	14307
dataset_4_types_rare	0.82	0.18000000000000005	0.0	0.2	0.5	128,64	32	0.1	0.5	True	2.999262571334839	5.45908260345459	0.43050867319107056	0.03315557539463043	93200	50349	8182	34669	58531	18461
dataset_multibatch_dropout	0.82	0.18000000000000005	0.0	0.2	0.5	128,64	32	0.1	0.5	True	2.711151361465454	5.331589698791504	0.30468976497650146	0.018385929986834526	291600	145828	36313	109459	182141	67010
