dataset	ASW	ASW_std	ARI	ARI_std	NMI	NMI_std	PS	PS_std	runtime_sec	runtime_sec_std	n_repeats	n_cells	n_genes	label_source	error
blakeley_top1000markers	0.4621	0.0	1.0	0.0	1.0	0.0	1.0	0.0	17.172234296798706	0.0	1	30	935	cell_type1	
darmanis_top1000markers	0.5379	0.0	0.9274	0.0	0.8929	0.0	0.95	0.0	6.57563042640686	0.0	1	420	1000	cell_type1	
deng_top1000markers	0.6147	0.0	0.5497	0.0	0.776	0.0	0.847	0.0	5.764498472213745	0.0	1	268	1000	cell_type1	
pollen_top1000markers	0.7575	0.0	0.9535	0.0	0.9404	0.0	0.9565	0.0	6.103411912918091	0.0	1	299	1000	cell_type1	
usoskin_top1000markers	0.4002	0.0	0.8985	0.0	0.8513	0.0	0.9469	0.0	9.338701725006104	0.0	1	622	1000	cell_type1	
